1;Elementos de Programacion;1;1C
2;Matematica para Informatica;1;1C
3;Analisis Matematico1;1;2C
4;Algebra Linea y Geometria Analitica;1;2C
5;Programacion;1;2C
6;Sistema de la computacion;2;1C
7;Algoritmo y Estructura de Datos;2;1C
8;Programacion Orientada a Objeto;2;1C
9;Programacion Numerica;2;2C
10;Paradigmas y lenguajes;2;2C
11;Ingles;2;A
12;Probabilidades y Estatica;3;1C
13;Bases de Datos;3;1C
14;Interpretes y Fundamentos de lenguaje de programacion;2;Op
15;Programacion de Aplicaiones WED;3;2C
16;disenio de aplicaciones basadas en conocimientos;2;Op
17;Seminario Tecnico Profecional;3;2C
18;Desarrollo en Python;3;Op
19;Modelos y Simulacion;3;Op
20;Programacion en Red con Sockets;3;Op
